iter	Passed	Remaining
158	1481	7834
159	1486	7801
160	1493	7782
161	1500	7762
162	1509	7752
163	1516	7731
164	1524	7715
165	1531	7694
166	1541	7691
167	1550	7677
168	1559	7668
169	1567	7652
170	1574	7633
171	1582	7617
172	1590	7602
173	1598	7586
174	1605	7570
175	1613	7552
176	1620	7536
177	1627	7517
178	1636	7505
179	1643	7487
180	1652	7475
181	1659	7458
182	1667	7445
183	1674	7427
184	1683	7416
185	1690	7398
186	1698	7385
187	1705	7366
188	1713	7354
189	1721	7337
190	1728	7322
191	1735	7304
192	1743	7290
193	1750	7274
194	1757	7256
195	1766	7247
196	1773	7230
197	1782	7218
198	1788	7199
199	1796	7185
200	1802	7166
201	1810	7152
202	1817	7134
203	1825	7124
204	1832	7106
205	1840	7092
206	1848	7081
207	1856	7069
208	1864	7055
209	1872	7042
210	1879	7028
211	1887	7015
212	1894	6999
213	1901	6984
214	1909	6971
215	1917	6960
216	1924	6945
217	1931	6928
218	1939	6915
219	1946	6900
220	1954	6888
221	1961	6874
222	1969	6864
223	1976	6847
224	1984	6835
225	1991	6820
226	1999	6810
227	2006	6794
228	2014	6783
229	2022	6770
230	2030	6758
231	2036	6742
232	2044	6728
233	2051	6716
234	2058	6701
235	2066	6689
236	2072	6673
237	2081	6662
238	2088	6648
239	2096	6637
240	2103	6624
241	2154	6747
242	2163	6738
243	2180	6754
244	2187	6740
245	2195	6729
246	2202	6714
247	2210	6702
248	2217	6688
249	2226	6678
250	2233	6665
251	2241	6654
252	2248	6639
253	2257	6630
254	2264	6615
255	2272	6605
256	2279	6590
257	2287	6579
258	2295	6567
259	2303	6556
260	2310	6540
261	2317	6528
262	2327	6522
263	2335	6511
264	2342	6495
265	2349	6484
266	2356	6468
267	2364	6457
268	2372	6446
269	2378	6432
270	2386	6420
271	2394	6409
272	2402	6398
273	2410	6386
274	2418	6377
275	2426	6365
276	2434	6354
277	2441	6340
278	2450	6331
279	2457	6319
280	2465	6307
281	2472	6295
282	2480	6284
283	2487	6271
284	2496	6261
285	2502	6248
286	2510	6237
287	2518	6227
288	2527	6217
289	2533	6203
290	2541	6190
291	2548	6178
292	2555	6167
293	2564	6157
294	2572	6147
295	2580	6136
296	2588	6126
297	2596	6116
298	2604	6106
299	2612	6096
300	2619	6084
301	2627	6072
302	2634	6059
303	2641	6048
304	2648	6035
305	2656	6025
306	2663	6013
307	2672	6005
308	2680	5993
309	2688	5983
310	2695	5971
311	2703	5960
312	2711	5950
313	2719	5941
314	2726	5929
315	2735	5920
316	2743	5910
317	2751	5900
318	2758	5888
319	2767	5880
320	2774	5867
321	2782	5858
322	2789	5845
323	2796	5834
324	2804	5825
325	2814	5818
326	2820	5804
327	2828	5795
328	2835	5782
329	2843	5773
330	2850	5761
331	2858	5751
332	2866	5740
333	2874	5730
334	2881	5719
335	2888	5708
336	2896	5697
337	2903	5687
338	2910	5675
339	2917	5664
340	2926	5655
341	2933	5644
342	2942	5635
343	2949	5624
344	2958	5616
345	2966	5607
346	2975	5599
347	2983	5589
348	2992	5581
349	3000	5572
350	3009	5564
351	3017	5554
352	3025	5545
353	3033	5535
354	3041	5526
355	3049	5515
356	3057	5507
357	3065	5496
358	3073	5487
359	3081	5478
360	3089	5468
361	3097	5458
362	3104	5448
363	3112	5437
364	3119	5427
365	3127	5417
366	3135	5407
367	3142	5397
368	3149	5386
369	3156	5374
370	3164	5365
371	3171	5353
372	3179	5344
373	3187	5334
374	3195	5325
375	3202	5314
376	3210	5305
377	3218	5295
378	3226	5287
379	3234	5276
380	3241	5266
381	3249	5256
382	3256	5245
383	3263	5235
384	3270	5224
385	3279	5216
386	3286	5206
387	3294	5196
388	3301	5185
389	3309	5176
390	3316	5165
391	3324	5156
392	3331	5145
393	3340	5137
394	3348	5128
395	3356	5120
396	3364	5109
397	3372	5101
398	3379	5090
399	3387	5081
400	3394	5070
401	3403	5063
402	3410	5052
403	3418	5043
404	3426	5033
405	3435	5026
406	3442	5016
407	3451	5007
408	3457	4996
409	3466	4988
