iter	Passed	Remaining
528	47661	42435
529	47751	42345
530	47856	42268
531	47948	42180
532	48045	42095
533	48163	42030
534	48278	41961
535	48372	41874
536	48463	41785
537	48563	41702
538	48654	41613
539	48745	41524
540	48836	41434
541	48923	41341
542	49021	41257
543	49112	41167
544	49205	41079
545	49293	40987
546	49384	40897
547	49472	40805
548	49569	40720
549	49657	40628
550	49751	40541
551	49843	40452
552	49942	40369
553	50034	40280
554	50123	40189
555	50215	40100
556	50314	40016
557	50419	39937
558	50513	39850
559	50616	39769
560	50708	39680
561	50797	39589
562	50893	39503
563	50988	39417
564	51084	39330
565	51180	39244
566	51275	39157
567	51366	39067
568	51454	38975
569	51542	38882
570	51626	38787
571	51711	38693
572	51799	38601
573	51891	38511
574	51978	38419
575	52069	38329
576	52159	38238
577	52248	38146
578	52336	38054
579	52422	37961
580	52508	37867
581	52599	37777
582	52680	37680
583	52768	37588
584	52859	37498
585	52943	37403
586	53034	37314
587	53123	37222
588	53210	37129
589	53298	37037
590	53429	36975
591	53517	36883
592	53606	36792
593	53708	36710
594	53802	36622
595	53892	36531
596	53982	36440
597	54073	36350
598	54160	36257
599	54247	36164
600	54337	36074
601	54429	35985
602	54522	35896
603	54610	35804
604	54696	35711
605	54782	35617
606	54868	35524
607	54958	35433
608	55045	35341
609	55135	35250
610	55225	35159
611	55313	35067
612	55402	34976
613	55493	34886
614	55580	34794
615	55663	34699
616	55748	34605
617	55836	34513
618	55933	34427
619	56021	34336
620	56109	34244
621	56195	34150
622	56280	34057
623	56367	33965
624	56455	33873
625	56542	33780
626	56628	33688
627	56714	33595
628	56798	33501
629	56887	33410
630	56977	33319
631	57071	33231
632	57160	33140
633	57246	33047
634	57334	32956
635	57421	32864
636	57508	32771
637	57593	32678
638	57681	32586
639	57767	32494
640	57856	32403
641	57945	32312
642	58029	32218
643	58115	32125
644	58206	32036
645	58294	31944
646	58382	31853
647	58470	31761
648	58559	31671
649	58647	31579
650	58734	31487
651	58822	31396
652	58910	31304
653	58996	31212
654	59124	31141
655	59214	31051
656	59302	30960
657	59391	30869
658	59479	30777
659	59564	30684
660	59649	30591
661	59735	30499
662	59820	30406
663	59904	30313
664	59994	30222
665	60081	30130
666	60166	30038
667	60251	29945
668	60339	29854
669	60428	29763
670	60513	29670
671	60604	29580
672	60693	29489
673	60778	29397
674	60866	29306
675	60952	29214
676	61041	29123
677	61130	29032
678	61220	28942
679	61309	28851
680	61396	28759
681	61487	28669
682	61576	28579
683	61665	28488
684	61754	28398
685	61841	28306
686	61928	28215
687	62017	28124
688	62102	28031
689	62187	27939
690	62276	27848
691	62362	27756
692	62448	27664
693	62535	27573
694	62622	27481
695	62708	27389
696	62797	27299
697	62886	27208
698	62970	27116
699	63069	27029
700	63157	26938
